date,base_mom6_top20,recommended_daily50_cash
2024-02-15,135830.651541614,64118.808129864425
2024-02-16,133800.56802321965,63160.50796619591
2024-02-20,132307.40579007604,62455.66129390882
2024-02-21,129325.6200365629,61048.110446997816
2024-02-22,135053.27556975457,63751.84809382901
2024-02-23,133901.96703187656,63208.37333021236
2024-02-26,135198.47119420258,63820.3876339079
2024-02-27,136418.2641881375,64396.19045932764
2024-02-28,136927.1752094192,64636.421716105026
2024-02-29,138759.83755313916,65501.52928829251
2024-03-01,140832.95388258275,66480.14307428143
2024-03-04,144938.23185966723,68418.03800407049
2024-03-05,142788.43513525074,67403.2272663863
2024-03-06,145533.2748758066,68698.92783672485
2024-03-07,147709.09261084397,69726.02178271594
2024-03-08,146348.3188271906,69083.66902837103
2024-03-11,144423.16094153066,68174.89897029244
2024-03-12,148293.62481541396,70001.94999071005
2024-03-13,150214.76234692044,70908.82224211797
2024-03-14,149095.75433069048,70380.59492763403
2024-03-15,148964.9471826465,70318.84746244662
2024-03-18,148036.72958339396,69880.68269275912
2024-03-19,147602.64757894786,69675.77444532145
2024-03-20,149807.0563034824,70716.36475718436
2024-03-21,152682.46157416157,72073.69873706147
2024-03-22,152084.86175200055,71791.60196508326
2024-03-25,154261.4563237883,72819.0626165711
2024-03-26,153374.9749056012,72400.59939550633
2024-03-27,154049.73892735568,72719.12149896951
2024-03-28,153321.25434200294,72375.24062360256
2024-04-01,153744.97138263032,72575.25609375598
2024-04-02,150457.6447081096,71023.47476964738
2024-04-03,152336.09257706325,71910.1953818539
2024-04-04,148295.72116376704,70002.93957116408
2024-04-05,150336.9789928714,70966.51456401336
2024-04-08,150185.84623711952,70895.17240332864
2024-04-09,148035.38354557697,69880.04729611229
2024-04-10,146237.09339057197,69031.16510271971
2024-04-11,148393.23358257685,70048.9702719005
2024-04-12,145047.71826709097,68469.72102164241
2024-04-15,142273.87860532524,67160.3310493704
2024-04-16,142608.31733710744,67126.75088384571
2024-04-17,139751.53207569322,67126.75088384571
2024-04-18,138282.12142539612,67126.75088384571
2024-04-19,133777.54419863227,67126.75088384571
2024-04-22,136288.15249613777,67126.75088384571
2024-04-23,140537.87756447648,67126.75088384571
2024-04-24,140014.18233808377,67126.75088384571
2024-04-25,139747.4238107246,67126.75088384571
2024-04-26,142260.7244938552,67126.75088384571
2024-04-29,144084.82005737346,67126.75088384571
2024-04-30,139803.84692993123,67126.75088384571
2024-05-01,137144.83130153,67126.75088384571
2024-05-02,140304.01030978508,67126.75088384571
2024-05-03,142300.00987586728,67126.75088384571
2024-05-06,146834.1074225422,67126.75088384571
2024-05-07,144471.27599270554,66012.994360127
2024-05-08,145491.35892923453,66479.09897970101
2024-05-09,147630.2247907716,67456.40702300952
2024-05-10,147169.2423300366,67245.77115528067
2024-05-13,145918.5758068815,66674.30640166692
2024-05-14,147627.61436414416,67455.21424557296
2024-05-15,152818.01019482946,69826.85226388158
2024-05-16,149493.93867415728,68307.99037912968
2024-05-17,150049.16283182034,68561.68793206241
2024-05-20,152329.50530259078,69603.6406221579
2024-05-21,152628.42116498435,69740.22369725537
2024-05-22,150054.59716716793,68564.17103291542
2024-05-23,150033.81305250985,68554.67418564057
2024-05-24,154152.13114369242,70436.44969470557
2024-05-28,154285.45760562093,70497.3703096781
2024-05-29,152318.06601214947,69598.41368822104
2024-05-30,151894.37472358847,69404.81720719028
2024-05-31,150503.1802493563,68769.14127541568
2024-06-03,150043.92136423287,68559.29295792023
2024-06-04,147872.9431045645,67567.31185560975
2024-06-05,153013.2001584061,69916.04005485387
2024-06-06,149324.9627406789,68230.78051670507
2024-06-07,148252.72801268948,67740.84627500105
2024-06-10,150255.0769050245,68655.775870718
2024-06-11,149888.29947681475,68488.1849351949
2024-06-12,152811.39133723496,69823.82792145743
2024-06-13,153112.8651939385,69961.57981618909
2024-06-14,149949.8110240275,68516.29129330198
2024-06-17,151505.69827951974,69227.21999463766
2024-06-18,153597.48225987263,70183.01500059172
2024-06-20,150889.56074897846,68945.6894062961
2024-06-21,149764.15593414367,68431.46025462514
2024-06-24,147743.75956029948,67508.28425638359
2024-06-25,149033.6701708382,68097.68073864945
2024-06-26,147479.7742677437,67387.66194230143
2024-06-27,147761.15628227577,67516.23330855201
2024-06-28,144255.294337831,65914.30625989978
2024-07-01,144648.95419685036,66094.18053507795
2024-07-02,145059.4353340809,66281.74092596359
2024-07-03,147478.93956096665,67387.28054126939
2024-07-05,146182.39656134238,66794.85353366006
2024-07-08,148049.47421711707,67647.97389210969
